"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1985 <= Year >= 2024""]"																																						
	1985	1	26	3	6	57.8			"ARGENTINA:  WEST CENTRAL, MENDOZA, LA LIGUA"	-33.053	-68.467	5	6.9	7	6	1			238	3	5	2	12000	4	12000	4	6	1			238	3	5	2	12000	4		
	1985	2	2	20	52	34.2			"IRAN:  S, FIRUZABAD-JAHROM"	28.399	52.997	37	5.3		1	1			80	2		2	1500	4			1	1			80	2		2	1500	4		
	1985	3	3	22	47	9.5	2158		"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO"	-33.132	-71.708	40	8	8	180	3			2575	4	1500	4		4			180	3			2575	4	1500	4		4		
	1985	3	16	14	54	0.7	2159		"GUADELOUPE"	17.013	-62.448	13	6.4	6					6	1		1									6	1		1				
	1985	3	17	10	41	38.4			"CHILE:  VALPARAISO, VINA DEL MAR"	-32.663	-71.551	33	6.6	7	1	1						2					1	1						2				
	1985	3	18	19	49	45.8			"PHILIPPINES:  PAGADIAN,  ZAMBOANGA"	7.758	123.544	33	6.5	5	2	1			25	1		2	30	1			2	1			25	1		2	30	1		
	1985	4	9	1	56	59.4			"CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO"	-34.131	-71.618	38	7.5	6	2	1				2		2					2	1				2						
	1985	4	13	1	6	0.1	2160		"INDONESIA:  DENPASAR, BALI"	-9.245	114.185	99	6.2									2		2										2		2		
	1985	4	18	5	52	52.8			"CHINA:  YUNNAN PROVINCE"	25.926	102.871	5	5.8	8	23	1			300	3	1	2					23	1			300	3	1	2				
	1985	4	24	1	7	14.5			"PHILIPPINES:  LUZON:  BENGUET PROVINCE,  BAGUIO"	16.498	120.815	33	6.1	7	6	1			11	1		2					6	1			11	1		2				
	1985	4	30	18	14	12.7			"GREECE:  MAGNISIA"	39.266	22.81	27	5.5	6								1	7	1										1	7	1		
	1985	5	10	15	35	50.5			"PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA"	-5.599	151.045	27	7.1	8	1	1					1	2					1	1					1	2				
	1985	7	3	4	36	51.7	2161		"PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL"	-4.439	152.828	46	7.2	7							1	2		1									1	2		1		
	1985	7	29	7	54	44			"AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT"	36.19	70.896	99	6.6	8	5	1			38	1	2	2					5	1			38	1	2	2				
	1985	8	21	11	26	28.7			"PERU:  COAST:  CHIMBOTE"	-9.159	-78.887	57	6.1						100	2		2	60	2							100	2		2	60	2		
	1985	8	23	12	41	56.1			"CHINA:  S XINJIANG:  WUQUA-SHUFU"	39.431	75.224	7	7.5	7	71	2			162	3	5	2		3			71	2			162	3	5	2		3		
	1985	9	15	2	42	54.8			"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI"	-4.13	136.049	10	6.3		10	1			7	1		2					10	1			7	1		2				
	1985	9	19	13	17	47.3	2162		"MEXICO:  MICHOACAN:  MEXICO CITY"	18.19	-102.533	28	8.1	9	9500	4			30000	4	4000	4		4			9500	4			30000	4	4000	4		4		
	1985	9	21	1	37	13.4	2163		"MEXICO:  SW COAST:  MEXICO CITY"	17.802	-101.647	31	7.6	6		2						2						2						2				
	1985	9	27	3	39	8.5			"SOLOMON ISLANDS:  HONIARA, GUADACANAL"	-9.829	159.854	32	6.9	7								1		3										1		3		
	1985	9	28	14	50	15.2			"BALKANS NW:  MACEDONIA:  DEMIR KAPIJA-NEGOTINO"	41.581	22.254	7	5	7					16	1		2	500	3							16	1		2	500	3		
	1985	10	11	3	39	10.9			"GUATEMALA:  SAN MIGUEL UPSANTAN"	15.299	-90.863	5	4.5	7						3		2	500	3	500	3						3		2	500	3		3
	1985	10	13	15	59	51.2			"TAJIKISTAN:  KAPTOLYUK, KAYRAKKUM, GAFUROV"	40.301	69.823	16	5.9	9	29	1			80	2	200	4		3		3	29	1			80	2	200	4		3		
	1985	10	27	19	34	57.1			"ALGERIA:  ANNABA-SETIF-SOUK"	36.46	6.761	10	5.9		6	1						1					6	1						1				
