"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"[""2015 <= Year >= 2024""]"																																												
	2015	2	16	23	6	28.3	4	1	5580	6.7			"n"	"JAPAN"	"IWATE"	"KUJIKO"	40.2	141.817	98.5260966136609						17	0	7	0.27		2														
	2015	2	16	23	6	28.3	4	1	5580	6.7			"n"	"JAPAN"	"IWATE"	"MIYAKO"	39.65	141.983	80.28570682128249						16	23	48	0.11		2														
	2015	2	16	23	6	28.3	4	1	5580	6.7			"n"	"JAPAN"	"AOMORI"	"MUTSUOGAWARA"	40.933	141.4	173.52358288305786						17	0	47	0.1		2														
	2015	2	19	13	18	32.8	4	1	5582	6.4			"n"	"VANUATU"		"NW PAAMA"	-16.433	168.235	9.29435577272855									8	150	5										1				
	2015	2	19	13	18	32.8	4	1	5582	6.4			"n"	"VANUATU"		"VELVEL, PAAMA"	-16.434	168.231	8.870706578697204											5														
	2015	2	19	13	18	32.8	4	1	5582	6.4			"n"	"VANUATU"		"MARIAT, PAAMA"	-16.435	168.231	8.875514497422502											5														
	2015	2	19	13	18	32.8	4	1	5582	6.4			"n"	"VANUATU"		"LIRO, PAAMA"	-16.451	168.2255	8.567539609900681											5														
	2015	2	19	13	18	32.8	4	1	5582	6.4			"n"	"VANUATU"		"NAMETSISI, PAAMA"	-16.431	168.235	9.291767710598966											5														
	2015	2	19	13	18	32.8	4	1	5582	6.4			"n"	"VANUATU"		"AVARAKIOM, PAAMA"	-16.43	168.236	9.399245150309964											5														
	2015	3	29	23	48	31	4	1	5581	7.5			"n"	"SOLOMON ISLANDS"		"TAREKUKURE, TARO ISLAND"	-6.6928	156.4086	478.2215810581751	30	1	59	1	11				0.03		2														
	2015	3	29	23	48	31	4	1	5581	7.5			"n"	"PAPUA NEW GUINEA"	"EAST NEW BRITAIN"	"RABAUL, NEW BRITAIN"	-4.22	152.18	70.46584510396968									0.5		1														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"TOKYO"	"KAMINATO, HACHIJO ISLAND"	33.133	139.8	182.07193811597682						2	19	15	0.06		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"IZU-OSHIMA, TOKYO"	"KOZUSHIMA"	34.217	139.133	314.7672149662076	2	17	49			2	18	25	0.21		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"TOKYO"	"YAENE, HACHIJO ISLAND"	33.1	139.767	179.20237881562105	2	17	26			2	17	35	0.6		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"CHIBA"	"MERA"	34.9189	139.825	377.7035010456542	2	17	47			2	18	28	0.1		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"TOKYO"	"AKO"	34.066667	139.483333	289.6065161416873	2	17	44			2	17	48	0.15		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"SHIZUOKA"	"IROZAKI"	34.617	138.85	365.34869011687056	2	18	11			2	19	45	0.08		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"SHIZUOKA"	"ITO"	34.9	139.133	387.18349429362274	2	18	9			2	19	21	0.03		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"SHIZUOKA"	"SHIMODA"	34.667	138.95	367.44146376982667	2	18	11			2	18	46	0.04		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"WAKAYAMA"	"GOBO"	33.85	135.167	538.5812122823023	2	18	9			2	18	23	0.04		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"KOCHI"	"MUROTOMISAKI"	33.267	134.167	600.471292472161	2	17	43			2	18	13	0.08		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"KOCHI"	"TOSASHIMODA"	33.51	133.44	673.0517852566521	2	18	26			2	18	47	0.09		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"OKINAWA"	"NANJO SHI AZAMA"	26.145	127.767	1352.0215974689447	2	18	55			2	19	0	0.14		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"OKINAWA"	"MINAMI DAITO GYOKO"	25.833	131.233	1080.405109844326	2	18	36			2	18	44	0.03		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"TOKYO"	"OKADA"	34.783	139.383	369.10029662768306						2	19	10	0.13		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"TOKYO"	"TSUBOTA"	34.05	139.55	286.3935212017513						2	17	53	0.19		2														
	2015	5	2	16	50	43	3	1	5584	5.7	7537		"n"	"JAPAN"	"KAGOSHIMA"	"KOMINATO, AMAMI ISLAND"	28.315	129.538	1090.022768317146						2	19	19	0.07		2														
	2015	5	5	1	44	6.4	3	1	5583	7.5			"n"	"PAPUA NEW GUINEA"	"EAST NEW BRITAIN"	"RABAUL, NEW BRITAIN"	-4.22	152.18	141.4485840158623									1		1														
	2015	6	24				4	8	5700				"n"	"CHINA"		"WUSHAN"	31.086	109.885	1.4482576861743053									6.2		5														
	2015	7	1				3	9	5603				"m"	"SCOTLAND"		"ABERDEEN"	57.144	-2.0803										0.18		2														
	2015	7	1				3	9	5603				"m"	"SCOTLAND"		"STONEHAVEN"	56.964	-2.211												1							1	1		1				
	2015	7	1				3	9	5603				"m"	"SCOTLAND"		"GOURDON"	56.816667	-2.283333												1														
	2015	7	10	4	12	42.5	4	1	5589	6.7			"n"	"SOLOMON ISLANDS"		"HONIARA, GUADALCANAL"	-9.429	159.955	171.01181906321173	10	4	45		32				0.01		2	5													
	2015	7	18	2	27	33.8	4	1	5588	7			"n"	"NEW CALEDONIA"		"LIFOU ISLAND"	-20.919	167.279	1186.1801246948069									0.06		2														
	2015	7	18	2	27	33.8	4	1	5588	7			"n"	"SOLOMON ISLANDS"		"LATA WHARF, NENDO IS, SANTA CRUZ IS"	-10.7208	165.8019	80.51911450077783									0.09		2														
	2015	7	18	2	27	33.8	4	1	5588	7			"n"	"SOLOMON ISLANDS"		"D52406 BPR, HONIARA"	-5.2931	165.0019	565.1198028964205									0.01		3														
	2015	7	18	2	27	33.8	4	1	5588	7			"n"	"PAPUA NEW GUINEA"		"D55023 BPR, ETD CORAL SEA"	-14.7147	153.5372	1347.8881597798486											3														
	2015	7	18	2	27	33.8	4	1	5588	7			"n"	"SOLOMON ISLANDS"		"HONIARA, GUADALCANAL"	-9.429	159.955	578.7962693895053											2														
	2015	7	27	4	49	46.4	4	1	5591	6.9			"n"	"USA"	"AK"	"NIKOLSKI, AK"	52.9406	-168.871	73.89979218219743	27	5	38		48	27	8	28	0.08		2														
	2015	7	27	4	49	46.4	4	1	5591	6.9			"n"	"USA"	"AK"	"ATKA ISLAND, AK"	52.2316	-174.172	322.7130730968877	27	6	5	1	15	27	6	33	0.04		2														
	2015	9	16	22	54	32.9	4	1	5590	8.3			"n"	"VANUATU"		"PORT VILA, EFATE ISLAND"	-17.7553	168.3077	11610.025954528286						17	18	47	0.21		2	22													
