,Tsunami Event ID,Year,Month,Day,Hour,Minute,Second,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Doubtful Runup,Country,Location Name,Latitude,Longitude,Distance From Source (km),Max Water Height (m)
775,2219.0,1993.0,7.0,12.0,13.0,17.0,11.9,4.0,1.0,7.7,n,RUSSIA,NAKHODKA,42.816667,132.883333,516.1009137037205,5.0
777,2219.0,1993.0,7.0,12.0,13.0,17.0,11.9,4.0,1.0,7.7,n,RUSSIA,NAKHODKA,42.816667,132.883333,516.1009137037205,5.0
985,2230.0,1994.0,10.0,4.0,13.0,22.0,55.8,4.0,1.0,8.3,n,JAPAN,MERA,34.9189,139.825,1175.1981053633465,0.18
1012,2230.0,1994.0,10.0,4.0,13.0,22.0,55.8,4.0,1.0,8.3,n,JAPAN,MERA,34.9189,139.825,1175.1981053633465,0.18
156,2253.0,1995.0,10.0,18.0,10.0,37.0,26.3,4.0,1.0,7.1,n,JAPAN,"YAENE, HACHIJO ISLAND",33.1,139.767,1083.792565263753,0.18
194,2253.0,1995.0,10.0,18.0,10.0,37.0,26.3,4.0,1.0,7.1,n,JAPAN,"YAENE, HACHIJO ISLAND",33.1,139.767,1083.792565263753,0.18
297,2260.0,1996.0,2.0,17.0,5.0,59.0,30.5,4.0,1.0,8.2,n,JAPAN,OWASE,34.083,136.2,3872.188443656773,0.6
300,2260.0,1996.0,2.0,17.0,5.0,59.0,30.5,4.0,1.0,8.2,n,JAPAN,TOBA,34.483,136.817,3915.786191310185,0.41
304,2260.0,1996.0,2.0,17.0,5.0,59.0,30.5,4.0,1.0,8.2,n,JAPAN,"YAENE, HACHIJO ISLAND",33.1,139.767,3773.949173408863,0.86
364,2260.0,1996.0,2.0,17.0,5.0,59.0,30.5,4.0,1.0,8.2,n,JAPAN,OWASE,34.083,136.2,3872.188443656773,0.6
365,2260.0,1996.0,2.0,17.0,5.0,59.0,30.5,4.0,1.0,8.2,n,JAPAN,TOBA,34.483,136.817,3915.786191310185,0.41
379,2260.0,1996.0,2.0,17.0,5.0,59.0,30.5,4.0,1.0,8.2,n,JAPAN,"YAENE, HACHIJO ISLAND",33.1,139.767,3773.949173408863,0.86
626,2280.0,1998.0,5.0,3.0,23.0,30.0,21.9,4.0,1.0,7.5,n,JAPAN,MERA,34.9189,139.825,1987.9503358234815,0.13
630,2280.0,1998.0,5.0,3.0,23.0,30.0,21.9,4.0,1.0,7.5,n,JAPAN,MERA,34.9189,139.825,1987.9503358234815,0.13
657,2281.0,1998.0,7.0,17.0,8.0,49.0,16.1,4.0,3.0,7.0,n,JAPAN,MERA,34.9189,139.825,4200.921012241189,0.1
660,2281.0,1998.0,7.0,17.0,8.0,49.0,16.1,4.0,3.0,7.0,n,JAPAN,OWASE,34.083,136.2,4152.619733765723,0.06
681,2281.0,1998.0,7.0,17.0,8.0,49.0,16.1,4.0,3.0,7.0,n,JAPAN,MERA,34.9189,139.825,4200.921012241189,0.1
692,2281.0,1998.0,7.0,17.0,8.0,49.0,16.1,4.0,3.0,7.0,n,JAPAN,OWASE,34.083,136.2,4152.619733765723,0.06
726,2281.0,1998.0,7.0,17.0,8.0,49.0,16.1,4.0,3.0,7.0,n,PAPUA NEW GUINEA,"BIG WALIS VILLAGE, WALIS ISLAND",-3.23376944,143.3029306,86.3472488629332,0.5
727,2281.0,1998.0,7.0,17.0,8.0,49.0,16.1,4.0,3.0,7.0,n,PAPUA NEW GUINEA,"BIG WALIS VILLAGE, WALIS ISLAND",-3.23376944,143.3029306,86.3472488629332,0.5
1336,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28944444,143.32,71.85138455107393,3.1
1338,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28944444,143.32,71.85138455107393,2.7
1340,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28944444,143.32,71.85138455107393,2.7
1341,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28944444,143.32,71.85138455107393,2.7
1343,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28944444,143.32,71.85138455107393,2.7
1344,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28944444,143.32,71.85138455107393,2.7
1345,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28944444,143.32,71.85138455107393,3.1
1346,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28861111,143.3183333,71.87768757322932,2.6
1347,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28861111,143.3183333,71.87768757322932,2.6
1348,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28861111,143.3183333,71.87768757322932,2.6
1349,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28861111,143.3183333,71.87768757322932,2.6
1350,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28861111,143.3183333,71.87768757322932,2.6
1351,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28861111,143.3183333,71.87768757322932,2.6
1352,2406.0,2003.0,9.0,25.0,19.0,50.0,6.3,4.0,1.0,8.3,n,JAPAN,HIROO,42.28861111,143.3183333,71.87768757322932,2.6
