country,location,tsunami_count
Japan," NANAO CITY, NOTOJIMA (03)",1
Japan," NANAO CITY, NOTOJIMA (06)",1
Japan," NANAO CITY, UNOURA (02)",1
Japan,ABASHIRI,4
Japan,ABURA,1
Japan,ABURATSU,21
Japan,"ADEN, KIKAI ISLAND",1
Japan,"AIKAWA, ISHIMAKI",1
Japan,AINUMA,1
Japan,AKAMAE,1
Japan,"AKASAKI FISHING PORT, SHIKA TOWN",1
Japan,"AKASAKI, SHIKA",1
Japan,AKITA,1
Japan,AKITAKO,2
Japan,AKKESHI,1
Japan,AKKESHI-KO,1
Japan,AKKESHIGYOKO,1
Japan,AKO,5
Japan,"AKO, HONSHU",3
Japan,AKUNE,1
Japan,AMAMI,4
Japan,AMATSU,1
Japan,"ANAMIZU TOWN, MAENAMI (01)",1
Japan,"ANAMIZU TOWN, OKINAMI (01)",1
Japan,"ANAMIZU TOWN, UKAGAWA (01)",1
Japan,AOHAMA,1
Japan,AOMORI,3
Japan,"AOMORI PREFECTURE, TOHOKU REGION",1
Japan,"AONAE, OKUSHIRI ISLAND",1
Japan,ARAHAMA,1
Japan,"ARAKI, KIKAI ISLAND",1
Japan,ASAHI,1
Japan,ASAHI-GYOKO,1
Japan,ASAHIHAMA,1
Japan,ASAMUSHI,1
Japan,ATSUNAI-GYOKO,1
Japan,ATSUSEKO,1
Japan,AWASHIMA,3
Japan,AWAZU,1
Japan,AYUKAWA,29
Japan,AYUKAWA OSHIKACHO,1
Japan,"B/W MONAI & HORONAI, OKUSHIRI IS",1
Japan,BANSEIONSEN,1
Japan,BEPPU,1
Japan,BIWASE,1
Japan,BIYA,1
Japan,BOSO,2
Japan,CAPE ERIMO,1
Japan,CAPE TODO,1
Japan,CHIBA,3
Japan,CHICHIJIMA ISLAND,35
Japan,CHIPPOMANAI,1
Japan,CHIYONOURA,1
Japan,CHOFU,1
Japan,CHOSHI,19
Japan,CYOBUSHI,1
Japan,CYOSETSUNUMA,1
Japan,"D21413, SE TOKYO, JAPAN",3
Japan,"D21418 BPR, NE TOKYO, JAPAN",2
Japan,DAINI-SAKAEHAMA,1
Japan,DESHIMATSU,1
