Tsunami Source,Runups,Missing Max Water Height (m)
5413,6345,195
2439,2168,170
5824,767,70
3037,246,41
2923,41,31
5757,268,30
5907,394,29
5476,124,29
2832,211,28
2263,65,24
4440,618,21
2202,43,21
3016,260,17
2373,152,17
5590,1128,16
2403,39,16
2749,55,15
5467,178,12
4682,684,11
2219,195,11
3168,134,10
5881,27,10
5771,174,8
2398,88,7
5557,201,6
2487,73,6
2326,26,6
2693,8,6
2214,111,5
2273,41,5
5582,6,5
5699,409,4
2213,83,4
5802,72,4
5859,14,4
5598,13,4
2256,7,4
2399,4,4
5658,68,3
2261,59,3
5698,35,3
5903,29,3
4622,25,3
4376,10,3
5559,8,3
3044,7,3
5656,7,3
5574,6,3
5464,5,3
5651,5,3
2185,4,3
2877,4,3
5675,4,3
5905,4,3
5689,291,2
2158,63,2
5462,39,2
5655,38,2
5746,16,2
5747,15,2
2246,11,2
5922,10,2
5472,8,2
3507,5,2
5588,5,2
5776,5,2
2192,4,2
5469,3,2
5713,3,2
2183,2,2
4802,2,2
5939,2,2
2406,237,1
2230,118,1
2281,91,1
2227,74,1
5799,63,1
2234,56,1
3228,56,1
4523,51,1
2221,50,1
5618,44,1
5763,40,1
2252,35,1
2194,34,1
3647,23,1
5613,16,1
2208,14,1
5630,13,1
5690,12,1
3691,11,1
5506,11,1
2352,10,1
5711,10,1
2181,8,1
3248,8,1
5672,8,1
5599,7,1
2694,5,1
2196,4,1
2229,4,1
2587,4,1
5869,4,1
5913,4,1
2188,3,1
3013,3,1
3623,3,1
5706,3,1
5868,3,1
5879,3,1
5883,3,1
5940,3,1
2176,2,1
2184,2,1
2187,2,1
2247,2,1
3015,2,1
4356,2,1
4782,2,1
5600,2,1
5607,2,1
5652,2,1
5734,2,1
5740,2,1
5758,2,1
5912,2,1
5952,2,1
2172,1,1
2197,1,1
2210,1,1
2258,1,1
2274,1,1
2434,1,1
2590,1,1
2919,1,1
2920,1,1
3032,1,1
3104,1,1
4443,1,1
5443,1,1
5514,1,1
5517,1,1
5532,1,1
5602,1,1
5687,1,1
5774,1,1
5785,1,1
5845,1,1
5342,349,0
2260,112,0
2249,90,0
2164,66,0
5673,64,0
2339,53,0
5714,49,0
3019,47,0
2253,41,0
2257,38,0
4442,37,0
5755,33,0
4312,27,0
5449,25,0
2437,24,0
5412,24,0
5430,24,0
2429,20,0
5571,20,0
2162,19,0
2277,19,0
3155,18,0
5463,17,0
2254,16,0
2259,16,0
5584,16,0
5891,16,0
2265,14,0
2280,14,0
2235,13,0
5753,13,0
2190,12,0
2436,12,0
5403,12,0
5919,12,0
2396,11,0
2466,11,0
5770,11,0
5832,11,0
2179,10,0
5873,10,0
3229,9,0
5560,9,0
5751,9,0
5769,9,0
2166,8,0
5533,8,0
5688,8,0
5712,8,0
5733,8,0
5782,8,0
3293,7,0
5432,7,0
5468,7,0
5555,7,0
5678,7,0
2169,6,0
2206,6,0
2218,6,0
2268,6,0
2402,6,0
2404,6,0
3622,6,0
4763,6,0
5670,6,0
5671,6,0
5685,6,0
5736,6,0
5938,6,0
2207,5,0
2547,5,0
3014,5,0
4418,5,0
5558,5,0
5572,5,0
5577,5,0
5632,5,0
5636,5,0
5910,5,0
2189,4,0
2211,4,0
2269,4,0
2270,4,0
2340,4,0
2428,4,0
3535,4,0
5402,4,0
5437,4,0
5450,4,0
5606,4,0
5609,4,0
5637,4,0
5647,4,0
5663,4,0
5664,4,0
5823,4,0
5850,4,0
5866,4,0
5882,4,0
2163,3,0
2167,3,0
2171,3,0
2186,3,0
2209,3,0
2224,3,0
2226,3,0
2240,3,0
2250,3,0
2394,3,0
2395,3,0
2880,3,0
2953,3,0
3035,3,0
3490,3,0
3558,3,0
5431,3,0
5439,3,0
5563,3,0
5578,3,0
5580,3,0
5596,3,0
5620,3,0
5641,3,0
5703,3,0
5788,3,0
5803,3,0
5804,3,0
5833,3,0
5861,3,0
5904,3,0
5911,3,0
5929,3,0
5951,3,0
2161,2,0
2174,2,0
2182,2,0
2198,2,0
2201,2,0
2205,2,0
2232,2,0
2233,2,0
2236,2,0
2245,2,0
2248,2,0
2266,2,0
2338,2,0
2397,2,0
2401,2,0
2921,2,0
3012,2,0
3038,2,0
3587,2,0
3588,2,0
3598,2,0
3601,2,0
3618,2,0
4311,2,0
4722,2,0
4902,2,0
5446,2,0
5447,2,0
5491,2,0
5519,2,0
5534,2,0
5581,2,0
5591,2,0
5592,2,0
5639,2,0
5716,2,0
5750,2,0
5762,2,0
5778,2,0
5792,2,0
5801,2,0
5822,2,0
5865,2,0
5871,2,0
5876,2,0
5880,2,0
5906,2,0
5942,2,0
5953,2,0
5954,2,0
2159,1,0
2168,1,0
2170,1,0
2173,1,0
2175,1,0
2177,1,0
2180,1,0
2191,1,0
2199,1,0
2200,1,0
2215,1,0
2220,1,0
2222,1,0
2228,1,0
2231,1,0
2241,1,0
2251,1,0
2255,1,0
2262,1,0
2264,1,0
2267,1,0
2275,1,0
2278,1,0
2279,1,0
2341,1,0
2353,1,0
2369,1,0
2392,1,0
2507,1,0
2548,1,0
2588,1,0
2591,1,0
2592,1,0
2593,1,0
2875,1,0
2922,1,0
2972,1,0
3017,1,0
3034,1,0
3156,1,0
3348,1,0
3382,1,0
3505,1,0
3508,1,0
3509,1,0
3589,1,0
3599,1,0
3692,1,0
4237,1,0
4247,1,0
4249,1,0
4336,1,0
4419,1,0
4441,1,0
4482,1,0
4522,1,0
4542,1,0
4562,1,0
4762,1,0
4822,1,0
5222,1,0
5343,1,0
5406,1,0
5407,1,0
5416,1,0
5419,1,0
5428,1,0
5429,1,0
5435,1,0
5436,1,0
5438,1,0
5442,1,0
5444,1,0
5451,1,0
5477,1,0
5479,1,0
5515,1,0
5564,1,0
5575,1,0
5583,1,0
5589,1,0
5593,1,0
5594,1,0
5604,1,0
5605,1,0
5642,1,0
5648,1,0
5649,1,0
5654,1,0
5676,1,0
5692,1,0
5700,1,0
5701,1,0
5707,1,0
5710,1,0
5717,1,0
5721,1,0
5722,1,0
5723,1,0
5724,1,0
5725,1,0
5743,1,0
5748,1,0
5752,1,0
5760,1,0
5779,1,0
5790,1,0
5791,1,0
5793,1,0
5794,1,0
5796,1,0
5805,1,0
5806,1,0
5808,1,0
5825,1,0
5827,1,0
5828,1,0
5834,1,0
5855,1,0
5858,1,0
5867,1,0
5872,1,0
5878,1,0
5890,1,0
5902,1,0
5909,1,0
5916,1,0
5921,1,0
5923,1,0
5927,1,0
5931,1,0
5955,1,0
5956,1,0
5957,1,0
5958,1,0
5959,1,0
5960,1,0
5961,1,0
5962,1,0
5963,1,0
